"","Fleet","FGroup","Fleet_global","Fleet_atl","Fleet_mz","Fleet_ewe"
"278","Seine_Danish_and_Other","bathypelagic>=90cm","Seine_Danish_and_Other_bathypelagic>=90cm",NA,NA,NA
"279","Seine_Danish_and_Other","benthopelagic30-90cm","Seine_Danish_and_Other_benthopelagic30-90cm",NA,NA,NA
"280","Seine_Danish_and_Other","benthopelagic<30cm","Seine_Danish_and_Other_benthopelagic<30cm",NA,NA,NA
"281","Seine_Danish_and_Other","benthopelagic>=90cm","Seine_Danish_and_Other_benthopelagic>=90cm",NA,NA,NA
"282","Seine_Danish_and_Other","cephalopods","Seine_Danish_and_Other_cephalopods",NA,NA,NA
"283","Seine_Danish_and_Other","demersal30-90cm","Seine_Danish_and_Other_demersal30-90cm",NA,NA,NA
"284","Seine_Danish_and_Other","demersal<30cm","Seine_Danish_and_Other_demersal<30cm",NA,NA,NA
"285","Seine_Danish_and_Other","demersal>=90cm","Seine_Danish_and_Other_demersal>=90cm",NA,NA,NA
"286","Seine_Danish_and_Other","demersalmollusc","Seine_Danish_and_Other_demersalmollusc",NA,NA,NA
"287","Seine_Danish_and_Other","flatfish<90cm","Seine_Danish_and_Other_flatfish<90cm",NA,NA,NA
"288","Seine_Danish_and_Other","lobsterscrab","Seine_Danish_and_Other_lobsterscrab",NA,NA,NA
"289","Seine_Danish_and_Other","pelagic30-90cm","Seine_Danish_and_Other_pelagic30-90cm",NA,NA,NA
"290","Seine_Danish_and_Other","pelagic<30cm","Seine_Danish_and_Other_pelagic<30cm",NA,NA,NA
"291","Seine_Danish_and_Other","pelagic>=90cm","Seine_Danish_and_Other_pelagic>=90cm",NA,NA,NA
"292","Seine_Danish_and_Other","rays<90cm","Seine_Danish_and_Other_rays<90cm",NA,NA,NA
"293","Seine_Danish_and_Other","rays>=90cm","Seine_Danish_and_Other_rays>=90cm",NA,NA,NA
"294","Seine_Danish_and_Other","reef-associated30-90cm","Seine_Danish_and_Other_reef-associated30-90cm",NA,NA,NA
"295","Seine_Danish_and_Other","reef-associated<30cm","Seine_Danish_and_Other_reef-associated<30cm",NA,NA,NA
"296","Seine_Danish_and_Other","shark>=90cm","Seine_Danish_and_Other_shark>=90cm",NA,NA,NA
"297","Seine_Danish_and_Other","shrimp","Seine_Danish_and_Other_shrimp",NA,NA,NA
"298","Seine_Purse_Seine","bathydemersal30-90cm","Seine_Purse_Seine_bathydemersal30-90cm",NA,NA,NA
"299","Seine_Purse_Seine","bathydemersal<30cm","Seine_Purse_Seine_bathydemersal<30cm",NA,NA,NA
"300","Seine_Purse_Seine","bathydemersal>=90cm","Seine_Purse_Seine_bathydemersal>=90cm",NA,NA,NA
"301","Seine_Purse_Seine","bathypelagic30-90cm","Seine_Purse_Seine_bathypelagic30-90cm",NA,NA,NA
"302","Seine_Purse_Seine","bathypelagic<30cm","Seine_Purse_Seine_bathypelagic<30cm",NA,NA,NA
"303","Seine_Purse_Seine","bathypelagic>=90cm","Seine_Purse_Seine_bathypelagic>=90cm",NA,NA,NA
"304","Seine_Purse_Seine","benthopelagic30-90cm","Seine_Purse_Seine_benthopelagic30-90cm",NA,NA,NA
"305","Seine_Purse_Seine","benthopelagic<30cm","Seine_Purse_Seine_benthopelagic<30cm",NA,NA,NA
"306","Seine_Purse_Seine","benthopelagic>=90cm","Seine_Purse_Seine_benthopelagic>=90cm",NA,NA,NA
"307","Seine_Purse_Seine","cephalopods","Seine_Purse_Seine_cephalopods",NA,NA,NA
"308","Seine_Purse_Seine","demersal30-90cm","Seine_Purse_Seine_demersal30-90cm",NA,NA,NA
"309","Seine_Purse_Seine","demersal<30cm","Seine_Purse_Seine_demersal<30cm",NA,NA,NA
"310","Seine_Purse_Seine","demersal>=90cm","Seine_Purse_Seine_demersal>=90cm",NA,NA,NA
"311","Seine_Purse_Seine","demersalmollusc","Seine_Purse_Seine_demersalmollusc",NA,NA,NA
"312","Seine_Purse_Seine","flatfish<90cm","Seine_Purse_Seine_flatfish<90cm",NA,NA,NA
"313","Seine_Purse_Seine","lobsterscrab","Seine_Purse_Seine_lobsterscrab",NA,NA,NA
"314","Seine_Purse_Seine","pelagic30-90cm","Seine_Purse_Seine_pelagic30-90cm",NA,NA,NA
"315","Seine_Purse_Seine","pelagic<30cm","Seine_Purse_Seine_pelagic<30cm",NA,NA,NA
"316","Seine_Purse_Seine","pelagic>=90cm","Seine_Purse_Seine_pelagic>=90cm",NA,NA,NA
"317","Seine_Purse_Seine","rays<90cm","Seine_Purse_Seine_rays<90cm",NA,NA,NA
"318","Seine_Purse_Seine","rays>=90cm","Seine_Purse_Seine_rays>=90cm",NA,NA,NA
"319","Seine_Purse_Seine","reef-associated30-90cm","Seine_Purse_Seine_reef-associated30-90cm",NA,NA,NA
"320","Seine_Purse_Seine","reef-associated<30cm","Seine_Purse_Seine_reef-associated<30cm",NA,NA,NA
"321","Seine_Purse_Seine","reef-associated>=90cm","Seine_Purse_Seine_reef-associated>=90cm",NA,NA,NA
"322","Seine_Purse_Seine","shark>=90cm","Seine_Purse_Seine_shark>=90cm",NA,NA,NA
"323","Seine_Purse_Seine","shrimp","Seine_Purse_Seine_shrimp",NA,NA,NA
"324","Trawl_Bottom","bathydemersal30-90cm","Trawl_Bottom_bathydemersal30-90cm",NA,NA,NA
"325","Trawl_Bottom","bathydemersal<30cm","Trawl_Bottom_bathydemersal<30cm",NA,NA,NA
"326","Trawl_Bottom","bathydemersal>=90cm","Trawl_Bottom_bathydemersal>=90cm",NA,NA,NA
"327","Trawl_Bottom","bathypelagic30-90cm","Trawl_Bottom_bathypelagic30-90cm",NA,NA,NA
"328","Trawl_Bottom","bathypelagic<30cm","Trawl_Bottom_bathypelagic<30cm",NA,NA,NA
"329","Trawl_Bottom","bathypelagic>=90cm","Trawl_Bottom_bathypelagic>=90cm",NA,NA,NA
"330","Trawl_Bottom","benthopelagic30-90cm","Trawl_Bottom_benthopelagic30-90cm",NA,NA,NA
"331","Trawl_Bottom","benthopelagic<30cm","Trawl_Bottom_benthopelagic<30cm",NA,NA,NA
"332","Trawl_Bottom","benthopelagic>=90cm","Trawl_Bottom_benthopelagic>=90cm",NA,NA,NA
"333","Trawl_Bottom","cephalopods","Trawl_Bottom_cephalopods",NA,NA,NA
"334","Trawl_Bottom","demersal30-90cm","Trawl_Bottom_demersal30-90cm",NA,NA,NA
"335","Trawl_Bottom","demersal<30cm","Trawl_Bottom_demersal<30cm",NA,NA,NA
"336","Trawl_Bottom","demersal>=90cm","Trawl_Bottom_demersal>=90cm",NA,NA,NA
"337","Trawl_Bottom","demersalmollusc","Trawl_Bottom_demersalmollusc",NA,NA,NA
"338","Trawl_Bottom","flatfish<90cm","Trawl_Bottom_flatfish<90cm",NA,NA,NA
"339","Trawl_Bottom","lobsterscrab","Trawl_Bottom_lobsterscrab",NA,NA,NA
"340","Trawl_Bottom","pelagic30-90cm","Trawl_Bottom_pelagic30-90cm",NA,NA,NA
"341","Trawl_Bottom","pelagic<30cm","Trawl_Bottom_pelagic<30cm",NA,NA,NA
"342","Trawl_Bottom","pelagic>=90cm","Trawl_Bottom_pelagic>=90cm",NA,NA,NA
"343","Trawl_Bottom","rays<90cm","Trawl_Bottom_rays<90cm",NA,NA,NA
"344","Trawl_Bottom","rays>=90cm","Trawl_Bottom_rays>=90cm",NA,NA,NA
"345","Trawl_Bottom","reef-associated30-90cm","Trawl_Bottom_reef-associated30-90cm",NA,NA,NA
"346","Trawl_Bottom","reef-associated<30cm","Trawl_Bottom_reef-associated<30cm",NA,NA,NA
"347","Trawl_Bottom","shark>=90cm","Trawl_Bottom_shark>=90cm",NA,NA,NA
"348","Trawl_Bottom","shrimp","Trawl_Bottom_shrimp",NA,NA,NA
"349","Trawl_Midwater_or_Unsp","bathydemersal30-90cm","Trawl_Midwater_or_Unsp_bathydemersal30-90cm",NA,NA,NA
"350","Trawl_Midwater_or_Unsp","bathydemersal<30cm","Trawl_Midwater_or_Unsp_bathydemersal<30cm",NA,NA,NA
"351","Trawl_Midwater_or_Unsp","bathydemersal>=90cm","Trawl_Midwater_or_Unsp_bathydemersal>=90cm",NA,NA,NA
"352","Trawl_Midwater_or_Unsp","bathypelagic30-90cm","Trawl_Midwater_or_Unsp_bathypelagic30-90cm",NA,NA,NA
"353","Trawl_Midwater_or_Unsp","bathypelagic<30cm","Trawl_Midwater_or_Unsp_bathypelagic<30cm",NA,NA,NA
"354","Trawl_Midwater_or_Unsp","bathypelagic>=90cm","Trawl_Midwater_or_Unsp_bathypelagic>=90cm",NA,NA,NA
"355","Trawl_Midwater_or_Unsp","benthopelagic30-90cm","Trawl_Midwater_or_Unsp_benthopelagic30-90cm",NA,NA,NA
"356","Trawl_Midwater_or_Unsp","benthopelagic<30cm","Trawl_Midwater_or_Unsp_benthopelagic<30cm",NA,NA,NA
"357","Trawl_Midwater_or_Unsp","benthopelagic>=90cm","Trawl_Midwater_or_Unsp_benthopelagic>=90cm",NA,NA,NA
"358","Trawl_Midwater_or_Unsp","cephalopods","Trawl_Midwater_or_Unsp_cephalopods",NA,NA,NA
"359","Trawl_Midwater_or_Unsp","demersal30-90cm","Trawl_Midwater_or_Unsp_demersal30-90cm",NA,NA,NA
"360","Trawl_Midwater_or_Unsp","demersal<30cm","Trawl_Midwater_or_Unsp_demersal<30cm",NA,NA,NA
"361","Trawl_Midwater_or_Unsp","demersal>=90cm","Trawl_Midwater_or_Unsp_demersal>=90cm",NA,NA,NA
"362","Trawl_Midwater_or_Unsp","demersalmollusc","Trawl_Midwater_or_Unsp_demersalmollusc",NA,NA,NA
"363","Trawl_Midwater_or_Unsp","flatfish<90cm","Trawl_Midwater_or_Unsp_flatfish<90cm",NA,NA,NA
"364","Trawl_Midwater_or_Unsp","lobsterscrab","Trawl_Midwater_or_Unsp_lobsterscrab",NA,NA,NA
"365","Trawl_Midwater_or_Unsp","pelagic30-90cm","Trawl_Midwater_or_Unsp_pelagic30-90cm",NA,NA,NA
"366","Trawl_Midwater_or_Unsp","pelagic<30cm","Trawl_Midwater_or_Unsp_pelagic<30cm",NA,NA,NA
"367","Trawl_Midwater_or_Unsp","pelagic>=90cm","Trawl_Midwater_or_Unsp_pelagic>=90cm",NA,NA,NA
"368","Trawl_Midwater_or_Unsp","rays<90cm","Trawl_Midwater_or_Unsp_rays<90cm",NA,NA,NA
"369","Trawl_Midwater_or_Unsp","rays>=90cm","Trawl_Midwater_or_Unsp_rays>=90cm",NA,NA,NA
"370","Trawl_Midwater_or_Unsp","reef-associated30-90cm","Trawl_Midwater_or_Unsp_reef-associated30-90cm",NA,NA,NA
"371","Trawl_Midwater_or_Unsp","reef-associated<30cm","Trawl_Midwater_or_Unsp_reef-associated<30cm",NA,NA,NA
"372","Trawl_Midwater_or_Unsp","reef-associated>=90cm","Trawl_Midwater_or_Unsp_reef-associated>=90cm",NA,NA,NA
"373","Trawl_Midwater_or_Unsp","shark>=90cm","Trawl_Midwater_or_Unsp_shark>=90cm",NA,NA,NA
"374","Trawl_Midwater_or_Unsp","shrimp","Trawl_Midwater_or_Unsp_shrimp",NA,NA,NA
