"","Fleet","FGroup","Fleet_global","Fleet_atl","Fleet_mz","Fleet_ewe"
"65","Lift_Nets","benthopelagic>=90cm","Lift_Nets_benthopelagic>=90cm",NA,NA,NA
"66","Lift_Nets","cephalopods","Lift_Nets_cephalopods",NA,NA,NA
"67","Lift_Nets","demersal30-90cm","Lift_Nets_demersal30-90cm",NA,NA,NA
"68","Lift_Nets","demersal<30cm","Lift_Nets_demersal<30cm",NA,NA,NA
"69","Lift_Nets","demersal>=90cm","Lift_Nets_demersal>=90cm",NA,NA,NA
"70","Lift_Nets","demersalmollusc","Lift_Nets_demersalmollusc",NA,NA,NA
"71","Lift_Nets","flatfish<90cm","Lift_Nets_flatfish<90cm",NA,NA,NA
"72","Lift_Nets","lobsterscrab","Lift_Nets_lobsterscrab",NA,NA,NA
"73","Lift_Nets","pelagic30-90cm","Lift_Nets_pelagic30-90cm",NA,NA,NA
"74","Lift_Nets","pelagic<30cm","Lift_Nets_pelagic<30cm",NA,NA,NA
"75","Lift_Nets","pelagic>=90cm","Lift_Nets_pelagic>=90cm",NA,NA,NA
"76","Lift_Nets","rays<90cm","Lift_Nets_rays<90cm",NA,NA,NA
"77","Lift_Nets","reef-associated30-90cm","Lift_Nets_reef-associated30-90cm",NA,NA,NA
"78","Lift_Nets","reef-associated<30cm","Lift_Nets_reef-associated<30cm",NA,NA,NA
"79","Lift_Nets","shark>=90cm","Lift_Nets_shark>=90cm",NA,NA,NA
"80","Lift_Nets","shrimp","Lift_Nets_shrimp",NA,NA,NA
"81","Lines_Handlines_and_poles","bathydemersal30-90cm","Lines_Handlines_and_poles_bathydemersal30-90cm",NA,NA,NA
"82","Lines_Handlines_and_poles","bathydemersal<30cm","Lines_Handlines_and_poles_bathydemersal<30cm",NA,NA,NA
"83","Lines_Handlines_and_poles","bathydemersal>=90cm","Lines_Handlines_and_poles_bathydemersal>=90cm",NA,NA,NA
"84","Lines_Handlines_and_poles","bathypelagic30-90cm","Lines_Handlines_and_poles_bathypelagic30-90cm",NA,NA,NA
"85","Lines_Handlines_and_poles","bathypelagic<30cm","Lines_Handlines_and_poles_bathypelagic<30cm",NA,NA,NA
"86","Lines_Handlines_and_poles","bathypelagic>=90cm","Lines_Handlines_and_poles_bathypelagic>=90cm",NA,NA,NA
"87","Lines_Handlines_and_poles","benthopelagic30-90cm","Lines_Handlines_and_poles_benthopelagic30-90cm",NA,NA,NA
"88","Lines_Handlines_and_poles","benthopelagic<30cm","Lines_Handlines_and_poles_benthopelagic<30cm",NA,NA,NA
"89","Lines_Handlines_and_poles","benthopelagic>=90cm","Lines_Handlines_and_poles_benthopelagic>=90cm",NA,NA,NA
"90","Lines_Handlines_and_poles","cephalopods","Lines_Handlines_and_poles_cephalopods",NA,NA,NA
"91","Lines_Handlines_and_poles","demersal30-90cm","Lines_Handlines_and_poles_demersal30-90cm",NA,NA,NA
"92","Lines_Handlines_and_poles","demersal<30cm","Lines_Handlines_and_poles_demersal<30cm",NA,NA,NA
"93","Lines_Handlines_and_poles","demersal>=90cm","Lines_Handlines_and_poles_demersal>=90cm",NA,NA,NA
"94","Lines_Handlines_and_poles","demersalmollusc","Lines_Handlines_and_poles_demersalmollusc",NA,NA,NA
